gate_id,link_id,from_node_id,to_node_id,direction
1,4261,1794,35066,entry
2,5761,2546,40418,entry
3,7799,3607,53077,entry
4,7814,3615,53071,entry
5,7819,3617,53064,entry
6,8081,5055,30064,entry
7,8091,5060,30114,entry
8,8092,5060,30115,entry
9,8996,20224,20292,entry
10,9144,20271,20280,exit
11,9146,20271,20341,exit
12,9171,20280,20271,entry
13,9212,20292,20224,exit
14,9380,20341,20271,entry
15,12918,21398,30203,entry
16,12920,21399,30089,entry
17,25739,30043,30063,entry
18,25740,30043,30175,entry
19,25744,30044,30175,entry
20,25755,30047,30064,entry
21,25805,30062,30064,entry
22,25807,30063,30043,exit
23,25808,30063,34008,exit
24,25809,30064,5055,exit
25,25810,30064,30047,exit
26,25811,30064,30062,exit
27,25891,30088,30225,entry
28,25893,30089,21399,exit
29,25895,30089,30521,exit
30,25896,30090,30091,entry
31,25900,30091,30090,exit
32,25903,30091,30507,exit
33,25944,30102,30293,entry
34,25949,30104,30328,exit
35,25950,30104,30521,exit
36,25959,30108,30109,entry
37,25962,30109,30108,exit
38,25964,30109,30111,exit
39,25967,30111,30109,entry
40,25973,30114,5060,exit
41,25974,30114,30120,exit
42,25975,30114,30129,exit
43,25977,30114,30282,exit
44,25978,30115,5060,exit
45,25979,30115,30116,exit
46,25980,30115,30118,exit
47,25981,30115,30120,exit
48,25984,30116,30115,entry
49,25991,30118,30115,entry
50,25995,30119,30203,entry
51,25998,30120,30114,entry
52,25999,30120,30115,entry
53,26028,30129,30114,entry
54,26184,30175,30043,exit
55,26185,30175,30044,exit
56,26277,30203,21398,exit
57,26278,30203,30119,exit
58,26349,30225,30088,exit
59,26492,30278,30104,entry
60,26504,30282,30114,entry
61,26532,30293,30102,exit
62,26535,30293,30478,exit
63,26606,30315,30316,exit
64,26610,30316,30315,entry
65,26902,30478,30293,entry
66,26963,30497,34016,entry
67,26994,30507,30091,entry
68,27036,30521,30089,entry
69,27037,30521,30104,entry
70,28683,34008,30063,entry
71,28703,34016,30497,exit
72,28704,34016,34424,exit
73,29738,34341,35081,entry
74,29770,34349,35074,entry
75,29813,34361,35070,entry
76,29837,34368,35066,entry
77,29971,34405,36677,entry
78,30030,34424,34016,entry
79,30115,34448,34512,entry
80,30304,34509,35239,entry
81,30312,34512,34448,exit
82,30321,34514,36091,exit
83,30875,34679,35077,entry
84,30878,34680,36589,exit
85,30879,34680,36673,exit
86,30908,34688,35062,entry
87,31253,34795,36683,entry
88,31260,34797,35060,entry
89,31466,34940,35167,entry
90,31722,35035,35544,exit
91,31778,35060,34797,exit
92,31782,35062,34688,exit
93,31789,35064,35864,exit
94,31791,35066,1794,exit
95,31792,35066,34368,exit
96,31798,35068,36605,exit
97,31801,35070,34361,exit
98,31808,35072,35697,exit
99,31810,35074,34349,exit
100,31817,35075,35742,exit
101,31819,35077,34679,exit
102,31828,35079,36552,exit
103,31830,35081,34341,exit
104,31991,35156,35539,exit
105,32011,35167,35165,exit
106,32137,35239,34940,exit
107,32655,35536,35033,entry
108,32656,35537,35540,entry
109,32662,35541,35538,exit
110,32663,35542,35545,exit
111,32671,35546,35543,entry
112,32672,35547,35158,entry
113,32858,35697,35072,entry
114,32968,35742,35075,entry
115,33342,35864,35064,entry
116,34036,36091,34514,entry
117,35452,36552,35079,entry
118,35567,36589,34680,entry
119,35616,36605,35068,entry
120,35619,36606,36677,entry
121,35755,36673,34680,entry
122,35761,36677,34405,exit
123,35763,36677,36606,exit
124,35775,36682,36683,entry
125,35776,36683,34795,exit
126,35777,36683,36682,exit
127,38162,40007,40799,exit
128,38166,40009,40111,exit
129,38187,40017,40435,exit
130,38188,40017,40500,exit
131,38192,40019,40150,exit
132,38202,40024,40257,exit
133,38419,40088,40161,exit
134,38495,40111,40009,entry
135,38619,40150,40019,entry
136,38656,40161,40088,entry
137,38924,40255,41011,entry
138,38928,40257,40024,entry
139,39205,40413,40418,entry
140,39214,40418,2546,exit
141,39217,40418,40413,exit
142,39256,40435,40017,entry
143,39460,40500,40017,entry
144,39562,40533,41017,entry
145,40364,40799,40007,entry
146,40932,40998,41000,entry
147,40937,41000,40998,exit
148,40938,41000,41001,exit
149,40942,41001,41000,entry
150,40946,41003,41011,entry
151,40957,41011,40255,exit
152,40958,41011,41003,exit
153,40969,41017,40533,exit
154,48760,53033,53059,entry
155,48765,53035,53056,entry
156,48776,53039,53086,entry
157,48796,53048,53076,exit
158,48799,53048,53102,exit
159,48800,53048,53103,exit
160,48818,53056,53035,exit
161,48824,53059,53033,exit
162,48830,53061,53066,exit
163,48834,53064,3617,exit
164,48837,53064,53147,exit
165,48839,53066,53061,entry
166,48849,53068,53098,exit
167,48853,53071,3615,exit
168,48856,53071,53100,exit
169,48866,53076,53048,entry
170,48867,53077,3607,exit
171,48888,53086,53039,exit
172,48928,53098,53068,entry
173,48933,53100,53071,entry
174,48941,53102,53048,entry
175,48945,53103,53048,entry
176,49085,53147,53064,entry
